AÑO / MES / DÍA ,MAX ,MIN ,HUMEDAD RELATIVA (%) ,PRECIPITACION (mm/dia)
1/4/2018,15.6,13,99,4.5
2/4/2018,15.6,12.6,95.5,0.9
3/4/2018,16,12.2,97.4,16.9
4/4/2018,18,12.1,94.5,91.0
5/4/2018,18.4,11.9,88.6,0.0
6/4/2018,19,11.4,88.3,0.0
7/4/2018,17.6,10.6,96,2.7
8/4/2018,18,12.5,95.8,12.9
9/4/2018,15,12.9,98.1,3.7
10/4/2018,18.2,12.4,94.6,2.4
11/4/2018,16.2,11.2,94.4,0.0
12/4/2018,18,11.1,95.7,0.0
13/4/2018,18.2,10.6,93.2,3.1
14/4/2018,20.2,12.6,86.6,0.0
15/4/2018,20,12.7,85,0.0
16/4/2018,19.4,12.8,91.2,0.0
17/4/2018,19,11.1,92.1,0.0
18/4/2018,22.8,12.7,76.8,0.0
19/4/2018,19.4,14.6,83.9,0.0
20/4/2018,21.4,13.6,80.5,0.0
21/4/2018,20.2,12.9,91.2,0.0
22/4/2018,21.6,12.4,92.3,0.7
23/4/2018,18.8,13.2,97.8,7.1
24/4/2018,21.4,12.8,92.9,7.3
25/4/2018,19.8,13.9,84.8,0.0
26/4/2018,20,13.8,87.6,0.0
27/4/2018,20.2,11.9,92.5,2.7
28/4/2018,18.4,14,97.6,5.7
29/4/2018,20.4,13.8,96.2,3.6
30/4/2018,21.8,12.8,90.6,0.1
