AÑO / MES / DÍA ,MAX ,MIN ,HUMEDAD RELATIVA (%) ,PRECIPITACION (mm/dia)
1/8/2018,20.5,12.6,82,0.0
2/8/2018,23.4,13.3,70.3,0.0
3/8/2018,20.8,15.7,78.5,0.0
4/8/2018,23,12.5,81.6,0.0
5/8/2018,23.2,13,75.4,0.0
6/8/2018,23.8,15.7,61.3,0.0
7/8/2018,25.2,16.4,62.5,0.0
8/8/2018,24,16.7,64.8,0.0
9/8/2018,24.4,16.8,62,0.0
10/8/2018,21.8,16.3,66.1,0.0
11/8/2018,23.2,16.2,62,0.0
12/8/2018,23.8,15.5,64.9,0.0
13/8/2018,21.7,13.6,72.8,0.0
14/8/2018,20,13.2,80.6,0.0
15/8/2018,20.4,13.2,81.2,0.0
16/8/2018,23,13.8,75.2,0.0
17/8/2018,23,15.4,68.1,0.0
18/8/2018,24.6,16.3,63.2,0.0
19/8/2018,23.8,14.3,61.4,0.0
20/8/2018,23.2,16,63.3,0.0
21/8/2018,22.6,16,66.1,0.0
22/8/2018,23.2,16,69.2,0.0
23/8/2018,22.8,15,63.7,0.0
24/8/2018,22.9,14.8,58,0.0
25/8/2018,23.2,15.2,57.1,0.0
26/8/2018,23.2,15.2,60.6,0.0
27/8/2018,22.6,15.4,61.8,0.0
28/8/2018,23,13.6,62.8,0.0
29/8/2018,22,13.4,72.9,0.0
30/8/2018,21.6,12.4,77.3,0.0
31/8/2018,23.6,12.6,66.9,0.0
