AÑO / MES / DÍA ,MAX ,MIN ,HUMEDAD RELATIVA (%) ,PRECIPITACION (mm/dia)
1/12/2018,19.6,9.2,74.5,0.0
2/12/2018,19,8.6,78.5,0.0
3/12/2018,20,9.5,61.5,0.0
4/12/2018,19.6,8.8,70.1,0.0
5/12/2018,19.4,8.4,66.7,0.0
6/12/2018,18.8,8.3,73,0.0
7/12/2018,19.4,10.6,80.3,0.0
8/12/2018,21,14,84.2,0.4
9/12/2018,21.6,13.2,86.7,0.0
10/12/2018,18.4,12.3,85.3,0.0
11/12/2018,20.2,11.4,84.6,0.0
12/12/2018,20.8,12.6,83.6,0.0
13/12/2018,20,11.8,84.7,1.2
14/12/2018,19.6,12.7,95.9,1.6
15/12/2018,21.4,13.8,83.7,0.0
16/12/2018,22,14.6,76.5,0.0
17/12/2018,21.6,13,85.6,0.0
18/12/2018,18.2,13.2,92.3,2.0
19/12/2018,17.4,14,95.8,3.2
20/12/2018,20.4,13.6,89.5,0.0
21/12/2018,20.4,13.3,92.8,0.6
22/12/2018,21.2,14,87.8,0.0
23/12/2018,24.8,14.2,75.2,0.0
24/12/2018,20.6,12,83,0.0
25/12/2018,21.4,13.5,80.5,0.0
26/12/2018,21,13.3,81.7,0.0
27/12/2018,20,13.4,93.7,0.0
28/12/2018,23,13.8,82.7,0.0
29/12/2018,22,15.2,74,0.0
30/12/2018,22.6,13.4,71.1,0.0
31/12/2018,24.4,14.8,64,0.0
