AÑO / MES / DÍA ,MAX ,MIN ,HUMEDAD RELATIVA (%) ,PRECIPITACION (mm/dia)
1/1/2019,24.6,16,61,0.0
2/1/2019,24.4,16.2,61.5,0.0
3/1/2019,24.5,15.6,83.2,0.0
4/1/2019,22.4,16.2,75.2,0.0
5/1/2019,24.6,15.3,74.9,0.0
6/1/2019,21.5,13.8,88.6,1.3
7/1/2019,19,13.2,93.4,0.0
8/1/2019,18.5,12.6,92.4,0.0
9/1/2019,18,11.2,92,0.0
10/1/2019,15.5,10,95,0.5
11/1/2019,17.2,12.2,96.2,0.7
12/1/2019,18.5,9.4,87.5,1.4
13/1/2019,16.6,10.6,98.3,1.8
14/1/2019,19.4,11.6,93.3,3.7
15/1/2019,16.5,13.3,99.3,4.2
16/1/2019,22.2,13.3,86.4,0.4
17/1/2019,23.8,12.6,80.7,0.0
18/1/2019,21.2,13.8,84.1,1.0
19/1/2019,21.5,12.8,90.8,0.0
20/1/2019,21.8,14,81.1,0.5
21/1/2019,20.8,13.4,89.3,0.0
22/1/2019,22.4,12.4,77.1,0.0
23/1/2019,23,16,69.9,0.0
24/1/2019,23.6,16.2,82,0.0
25/1/2019,20.4,14.6,91.4,0.2
26/1/2019,21.4,14,90.1,0.4
27/1/2019,18,14.6,99.4,23.2
28/1/2019,15.2,13.6,100,3.8
29/1/2019,15.8,14,98.1,16.5
30/1/2019,16,14,98.7,1.1
31/1/2019,18,14,97.5,2.8
