AÑO / MES / DÍA ,MAX ,MIN ,HUMEDAD RELATIVA (%) ,PRECIPITACION (mm/dia)
1/2/2019,18.6,14,95.5,3.7
2/2/2019,19,14.2,97.6,0.3
3/2/2019,21.5,14.7,94.1,0.0
4/2/2019,20.8,14,97,7.6
5/2/2019,20,13.8,98.8,1.5
6/2/2019,20.4,13.8,99.1,8.4
7/2/2019,16.8,15,99.4,10.5
8/2/2019,16.6,14.5,98.7,61.5
9/2/2019,17.2,13.9,99.7,3.2
10/2/2019,18.6,14.3,96.9,2.8
11/2/2019,20.6,13.4,95.2,0.2
12/2/2019,20.8,14.6,96,0.0
13/2/2019,20.8,14.6,97,2.0
14/2/2019,19,13.8,98.7,11.5
15/2/2019,19.6,14.2,94.9,0.0
16/2/2019,22.8,13.4,90.6,0.0
17/2/2019,21.4,12.6,88.7,0.2
18/2/2019,18,14.4,99.1,4.5
19/2/2019,16.4,14.3,99.4,24.8
20/2/2019,19.4,14.6,97.2,1.6
21/2/2019,22,13.9,90.2,0.0
22/2/2019,22.1,14.8,91.4,0.0
23/2/2019,21,15.6,95.3,22.4
24/2/2019,17.6,12.3,98.6,85.5
25/2/2019,18.8,13.4,96.3,52.3
26/2/2019,18.4,13.7,98.7,0.0
27/2/2019,20,13.6,98.2,0.3
28/2/2019,20.8,12,96,0.0
