AÑO / MES / DÍA ,MAX ,MIN ,HUMEDAD RELATIVA (%) ,PRECIPITACION (mm/dia)
1/7/2018,16.8,10.7,97.2,0.0
2/7/2018,20.8,9.8,78.2,0.0
3/7/2018,23.2,13,64,0.0
4/7/2018,22.4,13.5,68.9,0.0
5/7/2018,22.4,15,65.2,0.0
6/7/2018,24.2,13.8,70.8,0.0
7/7/2018,22.2,14.2,65,0.0
8/7/2018,22,12.2,72.7,0.0
9/7/2018,23.4,12.9,64.4,0.0
10/7/2018,23.6,15.4,66.4,0.0
11/7/2018,22.4,14.7,70.2,0.0
12/7/2018,21.6,15.8,62.5,0.0
13/7/2018,21.4,15.1,63.4,0.0
14/7/2018,23,14.2,61.7,0.0
15/7/2018,23.2,16.2,55.3,0.0
16/7/2018,22.8,15.6,59,0.0
17/7/2018,23,14.3,70.6,0.0
18/7/2018,20.8,14.1,75.7,0.0
19/7/2018,22.8,12.4,73.6,0.0
20/7/2018,23,13.9,66.9,0.0
21/7/2018,22,14.8,78.5,0.0
22/7/2018,22.4,13.2,81.4,0.0
23/7/2018,20.8,12.3,79.8,0.0
24/7/2018,22.6,14.1,70.5,0.0
25/7/2018,23,13.1,63.6,0.0
26/7/2018,22.8,15.2,70.3,0.0
27/7/2018,23.2,13.6,59.8,0.0
28/7/2018,21,13.7,79.3,0.0
29/7/2018,21.5,12.2,80.6,0.0
30/7/2018,21,13.7,77.6,0.0
31/7/2018,20,10.4,88.6,0.0
