AÑO / MES / DÍA ,MAX ,MIN ,HUMEDAD RELATIVA (%) ,PRECIPITACION (mm/dia)
1/6/2018,23,13.8,78,0.0
2/6/2018,22,14.3,76.7,0.0
3/6/2018,22.2,12.8,75.7,0.3
4/6/2018,20.4,15.2,76.4,0.0
5/6/2018,22,16.2,66,0.0
6/6/2018,23.6,16.2,62.6,0.0
7/6/2018,22,13.3,68.1,0.0
8/6/2018,23.4,16.4,60.6,0.0
9/6/2018,23,16.8,65.5,0.0
10/6/2018,22,14.4,86.1,0.0
11/6/2018,20,12,89.3,0.0
12/6/2018,22.6,13.3,72.6,0.0
13/6/2018,23,15.2,62.3,0.0
14/6/2018,22.8,17,56.4,0.0
15/6/2018,21,13.5,72.8,0.0
16/6/2018,21.6,13.4,72.3,0.0
17/6/2018,22,14.8,65.8,0.0
18/6/2018,22.6,14.6,55.2,0.0
19/6/2018,23.2,14.4,58.9,0.0
20/6/2018,19.2,10.4,78.1,0.0
21/6/2018,22,13.2,63,0.0
22/6/2018,22.2,11,75,0.0
23/6/2018,21.8,11.6,74.3,0.0
24/6/2018,21,14.4,80.6,0.0
25/6/2018,20.6,12.4,86.8,2.8
26/6/2018,21.8,12.6,74.2,0.0
27/6/2018,22,11.5,67.7,0.0
28/6/2018,21.6,11.4,82.6,0.0
29/6/2018,17.4,9.8,94,0.0
30/6/2018,21,10.5,84.7,0.0
