AÑO / MES / DÍA ,MAX ,MIN ,HUMEDAD RELATIVA (%) ,PRECIPITACION (mm/dia)
1/3/2019,20,13.5,99.7,27.0
2/3/2019,21.4,14.2,96.3,0.9
3/3/2019,18.2,14.6,99.4,24.6
4/3/2019,20.4,13.6,99.1,3.5
5/3/2019,16.4,14,99.3,18.5
6/3/2019,21.6,14.6,95.2,1.0
7/3/2019,20.6,14.2,100,0.9
8/3/2019,23.4,14,85.5,0.0
9/3/2019,23.3,15.6,83.1,0.0
10/3/2019,21,15,96.6,0.0
11/3/2019,20,13.4,96.2,24.8
12/3/2019,20.8,13.3,98.1,5.5
13/3/2019,20.6,14.4,98.1,0.6
14/3/2019,21.4,14.2,95.2,1.4
15/3/2019,23.2,14.8,98.4,1.3
16/3/2019,21.2,14,97.6,0.0
17/3/2019,22,13.7,93.5,7.4
18/3/2019,21,14.5,97.8,27.3
19/3/2019,19.6,14.4,97.9,6.1
20/3/2019,18.8,13.8,95.6,19.4
21/3/2019,19.8,14.2,97.5,47.4
22/3/2019,19,14,98.8,7.7
23/3/2019,21,13,95.7,0.9
24/3/2019,19.5,13.6,97.1,0.9
25/3/2019,21,14.2,95.6,0.2
26/3/2019,22.2,13.6,95.6,0.1
27/3/2019,21,13,96.2,0.5
28/3/2019,18.8,13.4,98.7,25.1
29/3/2019,20.2,14.4,97.8,8.4
30/3/2019,20.6,13.7,98.4,0.6
31/3/2019,22,13.4,92.7,0.1
