AÑO / MES / DÍA ,MAX ,MIN ,HUMEDAD RELATIVA (%) ,PRECIPITACION (mm/dia)
1/5/2018,20,13.2,95.9,0.0
2/5/2018,20.4,13,87,0.0
3/5/2018,19.6,11.7,96.1,0.0
4/5/2018,19,12.4,98.3,3.4
5/5/2018,19.6,12.5,96,0.0
6/5/2018,20,12.7,90.9,1.0
7/5/2018,21.8,14.2,91.3,14.0
8/5/2018,16.6,12.2,97.1,2.5
9/5/2018,16.4,12.1,99,5.6
10/5/2018,19.2,12.4,90.4,4.5
11/5/2018,19.6,12.6,94.7,17.4
12/5/2018,20.8,12.2,95.9,0.9
13/5/2018,19,13.8,95.6,2.8
14/5/2018,15.4,13.2,98.7,0.4
15/5/2018,18.2,13.2,95.6,15.8
16/5/2018,20.5,13.6,93.7,0.0
17/5/2018,21.2,13.3,82.1,0.0
18/5/2018,19.4,13.8,91.8,14.7
19/5/2018,20.6,11.8,95.9,0.2
20/5/2018,19.8,12.2,93.4,18.0
21/5/2018,17.5,13.2,98.1,24.9
22/5/2018,19.4,12.1,90,0.0
23/5/2018,20.7,11.7,90.2,0.0
24/5/2018,21.4,13,82.4,0.0
25/5/2018,21.4,12.7,86.1,0.0
26/5/2018,21.2,13.5,78.9,0.0
27/5/2018,21.6,13.3,81.9,0.0
28/5/2018,20.4,13.8,87.9,0.0
29/5/2018,19.4,13.2,88.5,0.0
30/5/2018,21.2,12.4,86.9,0.0
31/5/2018,24.5,13.8,65.6,0.0
