AÑO / MES / DÍA ,MAX ,MIN ,HUMEDAD RELATIVA (%) ,PRECIPITACION (mm/dia)
1/11/2018,21.4,13.2,81.2,0.0
2/11/2018,18.8,12.2,90.4,1.0
3/11/2018,17.6,13.2,90.1,0.3
4/11/2018,19,11.8,89.5,0.0
5/11/2018,18.8,11.6,85.7,0.0
6/11/2018,20,10.8,80.2,0.0
7/11/2018,21.2,10.8,76.7,13.8
8/11/2018,19.6,12.6,88.5,34.2
9/11/2018,19.2,13.4,94.1,14.8
10/11/2018,20,12.7,89.1,12.7
11/11/2018,20.4,12.8,88.4,0.0
12/11/2018,19.6,13.3,92.8,0.5
13/11/2018,17.8,13.2,96.3,0.0
14/11/2018,19,10.8,92,0.0
15/11/2018,19.4,13.3,89,0.0
16/11/2018,22.2,13.8,86.7,0.0
17/11/2018,21,13.6,90.1,0.0
18/11/2018,19,13.7,87.1,0.0
19/11/2018,19.6,13.6,88.9,2.0
20/11/2018,18.6,14.1,96.9,2.2
21/11/2018,17.4,14.3,97,12.1
22/11/2018,17.2,14,98.1,1.9
23/11/2018,19,12.6,92.1,0.0
24/11/2018,19.4,10.9,83.7,0.0
25/11/2018,19.2,13,88.8,1.1
26/11/2018,19.6,13.6,92.4,0.6
27/11/2018,18.4,12,91.1,0.0
28/11/2018,19.8,10,85.5,0.0
29/11/2018,19.6,9.6,75,0.0
30/11/2018,19.6,9,82.2,0.0
