AÑO / MES / DÍA ,MAX ,MIN ,HUMEDAD RELATIVA (%) ,PRECIPITACION (mm/dia)
1/10/2018,19.6,12.6,83.1,7.5
2/10/2018,19.8,12.9,88.2,22.3
3/10/2018,21,12.2,70.9,0.5
4/10/2018,20.8,12.4,72.8,0.0
5/10/2018,21,12.6,62.5,0.0
6/10/2018,21.4,13.6,74.9,1.7
7/10/2018,17.8,14.6,93.3,34.2
8/10/2018,18.2,13.4,86.1,0.0
9/10/2018,18.4,11.6,78.9,0.0
10/10/2018,19.8,11,78.2,0.0
11/10/2018,20.4,10.8,72.2,0.0
12/10/2018,20.6,11.4,73.4,0.0
13/10/2018,18.6,11.2,75.1,0.0
14/10/2018,21,11.8,77.3,0.0
15/10/2018,20.2,13,75.5,0.0
16/10/2018,19.2,12,76.9,0.0
17/10/2018,18.6,11.6,82.8,0.2
18/10/2018,18.7,12.8,87.5,3.9
19/10/2018,18.2,13,93.1,0.0
20/10/2018,19,13.3,89.2,0.0
21/10/2018,19,13.6,84.3,0.0
22/10/2018,19.6,11.7,81.6,0.0
23/10/2018,18.8,10.8,80.7,0.0
24/10/2018,18.8,11.2,81.9,0.0
25/10/2018,20.6,10.2,72.6,0.0
26/10/2018,20.6,10.2,69.5,0.0
27/10/2018,21.2,11.6,76.6,0.0
28/10/2018,20.8,14.3,79.1,0.0
29/10/2018,20.8,14.5,80.9,0.0
30/10/2018,21.4,13.2,84.3,4.0
31/10/2018,21.6,13,78.9,0.0
