AÑO / MES / DÍA ,MAX ,MIN ,HUMEDAD RELATIVA (%) ,PRECIPITACION (mm/dia)
1/9/2018,22.8,12.8,71.2,0.0
2/9/2018,22.4,13.6,78.7,0.0
3/9/2018,21.2,13.8,74.5,0.0
4/9/2018,20.2,16,70.5,0.0
5/9/2018,21.2,12.4,71.8,0.0
6/9/2018,20.6,12.2,79.1,0.0
7/9/2018,19.2,9.2,83.4,0.0
8/9/2018,23.4,13,63.2,0.0
9/9/2018,24.8,15.8,66.5,0.0
10/9/2018,23.8,13.8,67.7,0.0
11/9/2018,21.4,14.2,78.1,0.0
12/9/2018,20,11,78.5,0.0
13/9/2018,18,12.5,83.7,0.0
14/9/2018,16.8,10.6,90.4,0.3
15/9/2018,19.4,11.5,85.4,0.0
16/9/2018,19.2,12.4,80.4,4.0
17/9/2018,20,13.6,87.3,1.1
18/9/2018,24.2,13.4,67.8,0.0
19/9/2018,24.6,14.6,64.1,0.0
20/9/2018,24,15.8,65.5,0.0
21/9/2018,22.8,16.8,65.4,0.0
22/9/2018,23.6,12,73.4,0.0
23/9/2018,23.4,13.2,70.5,0.0
24/9/2018,24,15,70.2,0.0
25/9/2018,23.8,14.4,74.2,0.0
26/9/2018,20.4,11.8,84,0.0
27/9/2018,20.6,12.8,81.6,0.0
28/9/2018,22.6,13.4,78.2,0.0
29/9/2018,21,12.5,82.2,0.0
30/9/2018,23.8,12,81.2,0.0
